02-26 18:01,12000,163616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,16000,223616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,20000,287232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,24000,351232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,28000,415232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,32000,479232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,36000,546464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,40000,614464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,44000,682464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,48000,750464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,52000,818464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,56000,886464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,60000,954464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,64000,1022464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,68000,1092928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,72000,1164928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,76000,1236928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,80000,1308928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,84000,1380928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,88000,1452928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,92000,1524928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,96000,1596928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,100000,1668928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,4000,47904,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,8000,103808,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,12000,163616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,16000,223616,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,20000,287232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,24000,351232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,28000,415232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,32000,479232,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,36000,546464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,40000,614464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,44000,682464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,48000,750464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,52000,818464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,56000,886464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,60000,954464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,64000,1022464,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,68000,1092928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,72000,1164928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,76000,1236928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,80000,1308928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,84000,1380928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,88000,1452928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,92000,1524928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,96000,1596928,merge,data/reverse_v0.txt,REVERSED,50
02-26 18:01,100000,1668928,merge,data/reverse_v0.txt,REVERSED,50
